"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,2205,1.911617,1.923118,0.1920149
0,2220,1.763774,1.70555,0.1963945
0,2235,1.501038,1.434121,0.1985316
0,2250,1.254427,1.196326,0.1997568
0,2265,1.052697,1.005613,0.2005898
0,2280,0.8933784,0.8555833,0.2012331
0,2295,0.7676343,0.7369422,0.2017707
0,2310,0.6671981,0.6418129,0.2022409
0,2325,0.5857132,0.5643165,0.2026632
0,2340,0.5185745,0.5002309,0.2030485
0,2355,0.4624918,0.4465393,0.203404
0,2370,0.4150969,0.4010605,0.2037345
0,2385,0.374654,0.3621859,0.2040435
0,2400,0.3398644,0.3287035,0.204334
0,2415,0.3097354,0.299681,0.2046081
0,2430,0.2834917,0.274386,0.2048677
0,2445,0.2605174,0.2522337,0.2051145
0,2460,0.2403155,0.2327505,0.2053497
0,2475,0.2224796,0.2155477,0.2055746
0,2490,0.2066747,0.200304,0.2057902
0,2505,0.1926209,0.1867507,0.2059975
0,2520,0.1800837,0.1746619,0.2061971
0,2535,0.1688649,0.1638467,0.20639
0,2550,0.1587966,0.154143,0.2065766
0,2565,0.1497354,0.1454123,0.2067576
0,2580,0.1415582,0.1375356,0.2069336
0,2595,0.1341591,0.1304106,0.2071048
0,2610,0.1274469,0.1239489,0.2072719
0,2625,0.1213422,0.1180738,0.2074351
0,2640,0.1157762,0.1127184,0.2075947
0,2655,0.1106887,0.1078246,0.207751
0,2670,0.1060272,0.1033414,0.2079043
0,2685,0.1017454,0.0992242,0.2080548
0,2700,0.09780286,0.09543358,0.2082026
0,2715,0.09416376,0.09193491,0.208348
0,2730,0.0907965,0.0886976,0.208491
0,2745,0.08767312,0.08569457,0.2086319
0,2760,0.0847688,0.08290182,0.2087706
0,2775,0.08206153,0.08029804,0.2089074
0,2790,0.07953171,0.0778643,0.2090422
0,2805,0.07716191,0.07558374,0.2091752
0,2820,0.07493657,0.07344136,0.2093063
0,2835,0.07284182,0.07142378,0.2094357
0,2850,0.0708653,0.06951907,0.2095634
0,2865,0.06899592,0.06771656,0.2096893
0,2880,0.0672238,0.06600677,0.2098136
0,2895,0.6054971,0.9184051,0.1764332
0,2910,1.606261,1.805122,0.189262
0,2925,1.914209,1.925666,0.1967927
0,2940,1.766296,1.708043,0.2003008
0,2955,1.503519,1.436572,0.2020151
0,2970,1.25687,1.198739,0.2029997
0,2985,1.0551,1.007986,0.2036705
0,3000,0.8957385,0.8579145,0.2041895
0,3015,0.7699552,0.739234,0.2046238
0,3030,0.6694792,0.6440651,0.2050042
0,3045,0.5879539,0.5665288,0.2053461
0,3060,0.520776,0.5024044,0.2056584
0,3075,0.464655,0.4486746,0.2059467
0,3090,0.4172215,0.4031575,0.206215
0,3105,0.3767406,0.3642452,0.206466
0,3120,0.3419144,0.3307264,0.2067021
0,3135,0.3117503,0.3016689,0.2069251
0,3150,0.285471,0.2763385,0.2071364
0,3165,0.2624609,0.2541509,0.2073373
0,3180,0.2422239,0.2346328,0.207529
0,3195,0.2243537,0.2173961,0.2077123
0,3210,0.2085147,0.2021187,0.2078882
0,3225,0.1944275,0.1885322,0.2080572
0,3240,0.1818576,0.176411,0.2082202
0,3255,0.170607,0.1655642,0.2083776
0,3270,0.1605074,0.1558294,0.2085301
0,3285,0.1514153,0.1470681,0.2086779
0,3300,0.1432078,0.1391615,0.2088217
0,3315,0.1357791,0.132007,0.2089616
0,3330,0.1290378,0.1255164,0.2090981
0,3345,0.1229045,0.1196129,0.2092315
0,3360,0.1173104,0.1142297,0.209362
0,3375,0.1121953,0.1093085,0.2094897
0,3390,0.1075065,0.1047983,0.2096151
0,3405,0.1031979,0.1006545,0.209738
0,3420,0.09922903,0.09683777,0.2098589
0,3435,0.09556408,0.09331348,0.2099777
0,3450,0.09217143,0.09005099,0.2100947
0,3465,0.08902308,0.08702321,0.2102098
0,3480,0.08609424,0.08420614,0.2103232
0,3495,0.08336287,0.08157847,0.2104349
0,3510,0.08080939,0.07912127,0.2105451
0,3525,0.07841635,0.07681767,0.2106537
0,3540,0.07616818,0.07465266,0.2107609
0,3555,0.07405102,0.07261285,0.2108665
0,3570,0.07205246,0.0706863,0.2109708
0,3585,0.07016145,0.06886236,0.2110736
0,3600,0.06836809,0.06713151,0.2111751
0,3615,0.6066281,0.9195198,0.1831329
0,3630,1.607379,1.806222,0.1938253
0,3645,1.91529,1.92674,0.2001025
0,3660,1.767382,1.709109,0.2030277
